Name,CountryOperatorOwner,OperatorOwner,Users,Purpose,ApogeeKM,LaunchMassKG,DateOfLaunch,LaunchSite
"Shiyan 3 (SY3, Experimental Satellite 3)",China,Chinese Academy of Space Technology (CAST),Government,Earth Observation,803,300,11/5/2008,Jiuquan Satellite Launch Center
"Shiyan 4 (SY4, Experimental Satellite 4)",China,Chinese Academy of Space Technology (CAST),Government,Earth Observation,802,300,11/20/2011,Jiuquan Satellite Launch Center
"Shiyan 5 (SY5, Experimental Satellite 5)",China,Chinese Academy of Space Technology (CAST),Government,Earth Observation,755,204,11/25/2013,Jiuquan Satellite Launch Center
"Shiyan 7 (SY7, Experimental Satellite 7)",China,Chinese Academy of Space Technology (CAST),Military,Technology Development,672,,7/19/2013,Taiyuan Launch Center
Sicral 1A,Italy,Italian Defense Ministry,Military,Communications,35802,2596,2/7/2001,Guiana Space Center
Sicral 1B,Italy,Italian Defense Ministry/Telespazio,Military/Commercial,Communications,35802,3038,4/20/2009,Sea Launch (Odyssey)
Sicral 2/Syracuse 3C,France/Italy,Italian Defense Ministry/French Defense Ministry,Military,Communications,35800,4400,4/26/2015,Guiana Space Center
"Sinah-1 (Sina 1, ZS1)",Iran,Iranian Research Organization for Science and Technology (IROST),Government,Communications,703,170,10/27/2005,Plesetsk Cosmodrome
SINOD D-1,USA,SRI International,Commercial,Technology Demonstration,800,2,10/8/2015,Cape Canaveral
SINOD D-3,USA,SRI International,Commercial,Technology Demonstration,800,2,10/8/2015,Cape Canaveral
"Sinosat-6 (Chinasat-6A, XN-6)",China,China Direct Broadcast Satellite co.,Commercial,Communications,35796,5000,9/4/2010,Xichang Satellite Launch Center
Sirius 1 (SD Radio 1),USA,Sirius XM Holdings,Commercial,Communications,47100,3727,6/30/2000,Baikonur Cosmodrome
Sirius 2 (SD Radio 2),USA,Sirius XM Holdings,Commercial,Communications,47048,3792,9/5/2000,Baikonur Cosmodrome
Sirius 3 (SD Radio 3),USA,Sirius XM Holdings,Commercial,Communications,47086,3727,11/30/2000,Baikonur Cosmodrome
Sirius 4 (Astra 4A),Sweden,SES Sirius AB,Commercial,Communications,35795,4400,11/17/2007,Baikonur Cosmodrome
Sirius FM-5,USA,Sirius XM Holdings,Commercial,Communications,35798,5800,6/30/2009,Baikonur Cosmodrome
Sirius FM-6,USA,Sirius XM Holdings,Commercial,Communications,35791,6020,10/25/2013,Baikonur Cosmodrome
Sirius XM-5,USA,Sirius XM Holdings,Commercial,Communications,35795,5983,10/14/2010,Baikonur Cosmodrome
Sky Mexico-1,Mexico,Sky Mexico,Commercial,Communications,35800,3180,5/27/2015,Guiana Space Center
Sky Muster 1 (NBN-1A),Australia,NBN Co (operated by Optus),Commercial,Communications,35777,6440,9/30/2015,Guiana Space Center
Sky Muster 2 (NBN-1B),Australia,NBN Co (operated by Optus),Commercial,Communications,35798,6405,10/5/2016,Guiana Space Center
Skynet 4C,United Kingdom,Intelsat/Paradigm Secure Communications (wholly owned by EADS Astrium),Military,Communications,35797,1474,8/30/1990,Guiana Space Center
Skynet 4E,United Kingdom,Ministry of Defence,Military,Communications,35797,1510,2/26/1999,Guiana Space Center
Skynet 4F,United Kingdom,Ministry of Defence,Military,Communications,35801,1510,2/7/2001,Guiana Space Center
Skynet 5A,United Kingdom,Ministry of Defense/Paradigm Secure Communications (wholly owned by EADS Astrium),Military,Communications,35802,4700,3/11/2007,Guiana Space Center
Skynet 5B,United Kingdom,Ministry of Defense/Paradigm Secure Communications (wholly owned by EADS Astrium),Military,Communications,35803,4635,11/14/2007,Guiana Space Center
Skynet 5C,United Kingdom,Ministry of Defence/Paradigm Secure Communications (wholly owned by EADS Astrium),Military,Communications,35803,4600,6/12/2008,Guiana Space Center
Skynet 5D,United Kingdom,Ministry of Defense/Paradigm Secure Communications (wholly owned by EADS Astrium),Military,Communications,35793,4638,12/19/2012,Guiana Space Center
SkySat-1,USA,Terra Bella,Commercial,Earth Observation,599,,11/21/2013,Dombarovsky Air Base
SkySat-2,USA,Terra Bella,Commercial,Earth Observation,634,90,7/8/2014,Baikonur Cosmodrome
SkySat-3 (SkySat Gen 2-1),USA,Terra Bella,Commercial,Earth Observation,515,110,6/22/2016,Satish Dhawan Space Center
Skysat-4,USA,Terra Bella,Commercial,Earth Observation,502,110,9/16/2016,Guiana Space Center
Skysat-5,USA,Terra Bella,Commercial,Earth Observation,502,110,9/16/2016,Guiana Space Center
Skysat-6,USA,Terra Bella,Commercial,Earth Observation,506,110,9/16/2016,Guiana Space Center
Skysat-7,USA,Terra Bella,Commercial,Earth Observation,502,110,9/16/2016,Guiana Space Center
SkyTerra 1,USA,LightSquared,Commercial,Communications,35791,5360,11/14/2010,Baikonur Cosmodrome
SLDCOM-3 (Satellite Launch Dispenser Communications System) (USA 119),USA,National Reconnaissance Office (NRO),Military,Communications,11600,,5/12/1996,Vandenberg AFB
SMAP (Soil Moisture Active Passive Satellite),USA,National Aeronautics and Space Administration (NASA),Government,Earth Observation,686,,1/31/2015,Vandenberg AFB
SMDC-ONE 1.1 (Techsat),USA,US Army Space and Missile Defense Command,Military,Technology Development,791,5,9/13/2012,Vandenberg AFB
SMDC-ONE 1.2 (ORSES [Operationally Responsive Space Enabler Satellite]),USA,US Army Space and Missile Defense Command,Military,Technology Development,789,3,9/13/2012,Vandenberg AFB
SMDC-ONE 2.3,USA,US Army Space and Missile Defense Command,Military,Technology Development,886,5,12/6/2013,Vandenberg AFB
SMDC-ONE 2.4,USA,US Army Space and Missile Defense Command,Military,Technology Development,886,5,12/6/2013,Vandenberg AFB
SMOS (Soil Moisture and Ocean Salinity satellite),ESA,Centre National d'Etudes Spatiales (CNES)/European Space Agency,Government,Earth Observation,760,658,11/2/2009,Plesetsk Cosmodrome
SNaP-3 Alice,USA,US Army Space and Missile Defense Command,Military,Technology Development,801,5,10/8/2015,Cape Canaveral
SNaP-3 Eddie,USA,US Army Space and Missile Defense Command,Military,Technology Development,801,5,10/8/2015,Cape Canaveral
SNaP-3 Jimi,USA,US Army Space and Missile Defense Command,Military,Technology Development,801,5,10/8/2015,Cape Canaveral
SNaP-3-1  (Space and Missile Defense Command NanoSat Program),USA,US Southern Command,Military,Communications,886,,12/6/2013,Vandenberg AFB
SOCRATES  (Space Optical Communications Research Advanced TEchnology Satellite),Japan,National Institute of Information and Communications Technology (JPN),Commercial,Technology Development,629,48,5/24/2014,Tanegashima Space Center
